bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
128018,时达转债,2017/11/6,72527,82527,1.423,8.83亿,8.83亿,2017/11/8,2017/12/4,2527,新时达,11.9,0.004,2023/11/6
128019,久立转2,2017/11/8,72318,82318,1.2358,10.40亿,10.40亿,2017/11/10,2017/12/1,2318,久立特材,8.37,0.005,2023/11/8
128020,水晶转债,2017/11/17,72273,82273,1.78,11.80亿,11.80亿,2017/11/21,2017/12/12,2273,水晶光电,29.87,0.004,2023/11/16
128021,兄弟转债,2017/11/28,72562,82562,1.2929,7.00亿,7.00亿,2017/11/30,2017/12/27,2562,兄弟科技,18.17,0.001,2023/11/28
128022,众信转债,2017/12/1,72707,82707,0.8359,7.00亿,7.00亿,2017/12/5,2017/12/28,2707,众信旅游,11.12,0.003,2023/12/1
128023,亚太转债,2017/12/4,72284,82284,1.3558,10.00亿,10.00亿,2017/12/6,2017/12/26,2284,亚太股份,10.44,0.025,2023/12/4
128024,宁行转债,2017/12/5,72142,82142,1.9724,100.00亿,100.00亿,2017/12/7,2018/1/12,2142,宁波银行,18.45,0.052,2023/12/5
128025,特一转债,2017/12/6,72728,82728,1.77,3.54亿,3.54亿,2017/12/8,2017/12/28,2728,特一药业,19.7,0.005,2023/12/6
128026,众兴转债,2017/12/13,72772,82772,2.4643,9.20亿,9.20亿,2017/12/15,2018/1/3,2772,众兴菌业,11.74,0.056,2023/12/13
128027,崇达转债,2017/12/15,72815,82815,1.9512,8.00亿,8.00亿,2017/12/19,2018/1/22,2815,崇达技术,30.93,0.019,2023/12/15
128028,赣锋转债,2017/12/21,72460,82460,1.2731,9.28亿,9.28亿,2017/12/25,2018/1/19,2460,赣锋锂业,71.89,0.061,2023/12/21
128029,太阳转债,2017/12/22,72078,82078,0.4628,12.00亿,12.00亿,2017/12/26,2018/1/16,2078,太阳纸业,8.85,0.043,2022/12/22
128030,天康转债,2017/12/22,72100,82100,1.038,10.00亿,10.00亿,2017/12/26,2018/1/29,2100,天康生物,8.15,0.062,2023/12/22
128032,双环转债,2017/12/25,72472,82472,1.4626,10.00亿,10.00亿,2017/12/27,2018/1/25,2472,双环传动,10.07,0.082,2023/12/25
